focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
tertiary neurosyphilis,tabes dorsalis,False,A tertiary syphilis that results in infection located in brain or located in spinal cord.,"A tertiary neurosyphilis that results in slow degeneration of the nerve cells and nerve fibers that carry sensory information to the brain. The infection has symptom intense, stabbing pain in the back and legs that recurs irregularly, has symptom gait ataxia, has symptom hyperesthesia, has symptom paresthesia, has symptom loss of bladder sensation leading to urine retention, has symptom erectile dysfunction."
inner ear disease,otosclerosis,False,An auditory system disease that is located in the part of the ear that contains organs of the senses of hearing and equilibrium.,An otitis interna characterized by isolated endochondral bone sclerosis of the labyrinthine capsule.
osteogenesis imperfecta,Cole-Carpenter syndrome,False,An osteochondrodysplasia that has material basis in a deficiency in type-I collagen which results in brittle bones and defective connective tissue.,"An osteogenesis imperfecta characterized by craniosynostosis, communicating hydrocephalus, ocular proptosis, marked postnatal growth failure, and distinctive facial appearance."
male reproductive system disease,sexual dysfunction,False,A reproductive system disease that affects male reproductive organs.,A male reproductive system disease that is characterized by disturbances in sexual desire or performance.
hypersensitivity reaction type IV disease,autoimmune lymphoproliferative syndrome,False,"A hypersensitivity reaction disease that is characterized by a cell-mediated response to antigens, where Th1 helper T cells react with antigens on antigen-presenting cells and cause a delayed type immune response.","A hypersensitivity reaction type IV disease that is an inherited disorder in which the body cannot properly regulate the number of immune system cells (lymphocytes). It is characterized by the production of an abnormally large number of lymphocytes. Accumulation of excess lymphocytes results in enlargement of the lymph nodes, the liver, and the spleen."
B cell deficiency,agammaglobulinemia,False,A primary immunnodeficiency disease that is caused by a lack of infection-fighting antibody producing B cells (immunoglobulins) or B cells that are not functioning properly.,A B cell deficiency that is caused by a reduction in all types of gamma globulins.
beta thalassemia,beta-thalassemia major,False,A thalassemia characterized by the reduced or absent synthesis of the beta globin chains of hemoglobin.,A beta thalassemia that is characterized by severe anemia and enlarged liver and spleen before 2 years of age.
macular degeneration,bestrophinopathy,False,A retinal degeneration characterized by gradual deterioration of light-sensing cells in the tissues at the back of the eye and has symptom vision loss.,"A macular degeneration that is characterized by central vision loss, an absent electrooculogram light rise and a reduced electroretinogram, has material basis in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the BEST1 gene on chromosome 11q12."
T-cell non-Hodgkin lymphoma,acute biphenotypic leukemia,False,A non-Hodgkin lymphoma of T-cell lineage.,An acute leukemia that is characterized by the occurrence of more than one type of leukemia at the same time resulting from either the occurrence of blasts which coexpress myeloid and T or B lineage antigens or concurrent B and T lineage antigens.
pericardium disease,pericarditis,False,A cardiovascular system disease that is located in the fibrous sac surrounding the heart.,A pericardium disease that is characterized by an inflammation of the pericardium and has symptom chest pain.
macrocytic anemia,overhydrated hereditary stomatocytosis,False,An anemia that is characterized by the production of abnormally large red blood cells and mean corpuscular volume (MCV) (more than 100 fL).,A macrocytic anemia characterized by macrocytic hemolytic anemia and monovalent cation leak from red blood cells that has material basis in heterozygous mutation in the RHAG gene on chromosome 6p12.3.
chromosomal duplication syndrome,syndromic X-linked intellectual disability Lubs type,False,A chromosomal disease that has material basis in extra copies of a chromosomal region.,"A syndromic X-linked intellectual disability characterized by moderate to profound intellectual disability, infantile hypotonia, mild dysmorphic features, poor speech development, autistic features, seizures, progressive spasticity, and recurrent infections in males that has material basis in duplication or triplication of the MECP2 gene on chromosome Xq28."
withdrawal disorder,neonatal abstinence syndrome,False,"A substance-related disorder that occurs upon the abrupt discontinuation/separation or a decrease in dosage of the intake of medications, recreational drugs, and alcohol.",A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.
hyperthyroidism,selective pituitary thyroid hormone resistance,False,A thyroid gland disease that involves an over production of thyroid hormone.,"A hyperthyroidism characterized by mild to moderate hyperthyroidism, impaired pituitary response to thyroid hormone, elevated levels of thyroid hormone, and association with thyrotoxic features that has material basis in heterozygous mutation in the THRB gene on chromosome 3p24.2."
